10	  3.0528	  16.7286	-0.5620	1.7310	-0.5973	1.6988	-1	0.1297	0.1256	1	0.0167	4.1382	180	
10	  3.0695	  16.6211	-0.5047	1.5646	-0.5603	1.6451	-1	0.1143	0.0886	1	0.0333	3.6462	181	
10	  3.0861	  16.6411	-0.4546	1.4383	-0.5180	1.5624	-1	0.1170	0.0939	1	0.0166	3.7305	182	
10	  3.1027	  16.6411	-0.8817	2.0256	-0.6635	1.7477	-1	0.1514	0.1149	1	0.0000	4.8298	183	
10	  3.1196	  16.8831	-0.9713	2.1699	-0.7866	1.9166	-1	0.1407	0.1188	1	0.0000	4.4872	184	
10	  3.1363	  16.6281	-0.2163	0.8216	-0.5585	1.4786	-1	0.1250	0.0682	1	0.0000	3.9874	185	
10	  3.1530	  16.7307	-0.2632	1.1152	-0.4404	1.3332	-1	0.1196	0.0809	1	0.0000	3.8153	186	
10	  3.1696	  16.6453	-0.8241	2.1000	-0.5938	1.6399	-1	0.1509	0.1300	1	0.0000	4.8119	187	
10	  3.1864	  16.7443	-0.8259	2.0862	-0.6867	1.8184	-1	0.1501	0.1288	1	0.0000	4.7885	188	
10	  3.2030	  16.5801	-0.0700	0.7872	-0.4400	1.4059	-1	0.1286	0.0782	1	0.0000	4.1018	189	
10	  3.2197	  16.7835	-3.4399	3.9858	-1.6400	2.4379	-1	0.0923	0.0549	1	0.0000	2.9435	190	
10	  3.2364	  16.6631	-1.0589	2.2100	-1.4075	2.3467	-1	0.1382	0.1119	1	0.0000	4.4080	191	
10	  3.2531	  16.7081	-0.8228	2.0292	-1.1736	2.2197	-1	0.1512	0.1192	1	0.0000	4.8242	192	
10	  3.2697	  16.6211	-0.8636	2.0439	-1.0496	2.1494	-1	0.1347	0.1214	1	0.0000	4.2978	193	
10	  3.2865	  16.7546	-0.1602	0.8196	-0.6939	1.6175	-1	0.1267	0.0668	1	0.0000	4.0407	194	
10	  3.3031	  16.6592	-0.4244	1.5055	-0.5861	1.5727	-1	0.1249	0.1035	1	0.0000	3.9851	195	
10	  3.3199	  16.7286	-0.7932	2.0543	-0.6689	1.7653	-1	0.1497	0.1316	1	0.0000	4.7761	196	
10	  3.3365	  16.6414	-0.5499	1.8097	-0.6213	1.7831	-1	0.1546	0.1281	1	0.0166	4.9313	197	
10	  3.3532	  16.7346	-0.7710	2.0335	-0.6812	1.8833	-1	0.1458	0.1330	1	0.0334	4.6495	198	
