10	  2.1022	  16.7431	0.7381	0.4396	0.7017	0.3819	-1	0.1579	0.1553	1	0.0167	5.0354	126	
10	  2.1188	  16.6109	0.6748	0.3826	0.6910	0.3822	-1	0.1833	0.1404	1	0.0166	5.8476	127	
10	  2.1355	  16.7537	0.6846	0.2630	0.6884	0.3345	-1	0.1702	0.1374	1	0.0168	5.4273	128	
10	  2.1522	  16.6347	0.6915	0.2390	0.6896	0.2963	2	0.1639	0.1448	1	0.0166	5.2289	129	
10	  2.1689	  16.7570	0.6576	0.3273	0.6768	0.3087	-1	0.1736	0.1362	1	0.0168	5.5357	130	
10	  2.1855	  16.5593	0.6960	0.1082	0.6845	0.2285	2	0.1913	0.1484	1	0.0166	6.1024	131	
10	  2.2023	  16.7850	0.6860	0.1669	0.6851	0.2039	2	0.1955	0.1494	1	0.0168	6.2355	132	
10	  2.2188	  16.5704	0.7283	0.1528	0.7024	0.1834	2	0.2126	0.1437	1	0.0166	6.7824	133	
10	  2.2356	  16.7808	0.6114	0.4496	0.6660	0.2899	2	0.1554	0.1444	1	0.0168	4.9575	134	
10	  2.2522	  16.6082	0.7143	0.1276	0.6853	0.2250	2	0.2032	0.1305	1	0.0166	6.4801	135	
10	  2.2689	  16.6332	0.6313	0.4290	0.6637	0.3066	-1	0.1888	0.1443	1	0.0166	6.0226	136	
10	  2.2856	  16.7642	0.7458	0.1828	0.6965	0.2571	2	0.1696	0.1516	1	0.0168	5.4107	137	
10	  2.3022	  16.5888	0.6504	0.4017	0.6781	0.3149	-1	0.1604	0.1405	1	0.0166	5.1147	138	
10	  2.3190	  16.7850	0.5528	0.2234	0.6280	0.2783	-1	0.1749	0.1306	1	0.0168	5.5795	139	
10	  2.3356	  16.6124	0.5902	0.4356	0.6128	0.3412	-1	0.2074	0.1414	1	0.0166	6.6136	140	
10	  2.3522	  16.6115	0.6869	0.3926	0.6425	0.3618	-1	0.1695	0.1382	1	0.0166	5.4054	141	
10	  2.3690	  16.7552	0.7126	0.2965	0.6705	0.3357	-1	0.1839	0.1337	1	0.0168	5.8645	142	
10	  2.3856	  16.6217	0.7319	0.3281	0.6951	0.3326	-1	0.1929	0.1644	1	0.0166	6.1531	143	
10	  2.4023	  16.7530	0.6420	0.2536	0.6738	0.3010	-1	0.1657	0.1522	1	0.0168	5.2857	144	
10	  2.4190	  16.6263	0.6995	0.3336	0.6841	0.3141	-1	0.1617	0.1479	1	0.0166	5.1584	145	
10	  2.4357	  16.7476	0.7226	0.2409	0.6995	0.2848	2	0.1646	0.1470	1	0.0167	5.2500	146	
10	  2.4523	  16.6233	0.8581	-0.3330	0.7629	0.0377	-1	0.1934	0.1707	1	0.0000	6.1698	147	
10	  2.4690	  16.6833	0.6076	0.4461	0.7008	0.2011	2	0.1824	0.1483	1	0.0000	5.8164	148	
10	  2.4857	  16.6891	0.7143	0.3023	0.7062	0.2415	2	0.1687	0.1323	1	0.0167	5.3807	149	
10	  2.5025	  16.7696	0.6782	0.2384	0.6950	0.2403	2	0.1772	0.1520	1	0.0335	5.6523	150	
10	  2.5191	  16.6057	0.6252	0.1157	0.6671	0.1904	2	0.1792	0.1451	1	0.0501	5.7142	151	
10	  2.5359	  16.7841	0.7247	-0.0143	0.6901	0.1085	-1	0.1692	0.1535	1	0.0168	5.3952	152	
10	  2.5525	  16.5897	0.6754	0.2952	0.6842	0.1832	2	0.1622	0.1425	1	0.0166	5.1747	153	
10	  2.5693	  16.7850	0.7307	0.4312	0.7028	0.2824	2	0.1843	0.1483	1	0.0168	5.8796	154	
10	  2.5858	  16.5900	0.6361	0.3478	0.6761	0.3086	-1	0.1876	0.1379	1	0.0166	5.9837	155	
10	  2.6026	  16.7856	0.6388	0.2920	0.6612	0.3019	-1	0.1789	0.1586	1	0.0168	5.7074	156	
10	  2.6193	  16.6287	0.6548	0.4881	0.6586	0.3764	-1	0.1842	0.1480	1	0.0166	5.8755	157	
10	  2.6360	  16.7482	0.6382	0.2923	0.6505	0.3428	-1	0.1871	0.1408	1	0.0167	5.9663	158	
10	  2.6526	  16.5783	0.5773	0.0946	0.6212	0.2435	-1	0.1847	0.1499	1	0.0166	5.8903	159	
10	  2.6694	  16.7736	0.7366	0.2268	0.6673	0.2368	2	0.1626	0.1539	1	0.0168	5.1855	160	
10	  2.6860	  16.6054	0.6784	0.1937	0.6718	0.2196	2	0.2030	0.1485	1	0.0166	6.4754	161	
10	  2.7027	  16.7693	0.7053	0.4538	0.6852	0.3133	-1	0.1886	0.1372	1	0.0168	6.0166	162	
10	  2.7194	  16.6202	0.6707	-0.0238	0.6794	0.1784	2	0.1920	0.1518	1	0.0000	6.1233	163	
10	  2.7360	  16.6263	0.8044	0.1753	0.7294	0.1772	2	0.1862	0.1444	1	0.0166	5.9389	164	
10	  2.7527	  16.7512	0.8076	-0.0351	0.7607	0.0923	-1	0.1816	0.1589	1	0.0334	5.7913	165	
10	  2.7693	  16.6193	0.6888	0.3221	0.7319	0.1842	2	0.1809	0.1423	1	0.0166	5.7689	166	
